date,follower,likes,video_view,article_view
2022-08-21,5757,13891,187012,224
2022-08-20,5748,13820,186727,224
2022-08-19,5742,13770,186727,224
2022-08-18,5741,13770,186656,224
2022-08-17,5737,13765,186500,224
2022-08-16,5735,13765,186386,224
2022-08-15,5731,13762,186293,224
2022-08-14,5729,13759,186209,223
2022-08-13,5730,13751,186022,223
2022-08-12,5728,13721,185727,223
2022-08-11,5731,13691,185536,223
2022-08-10,5727,13682,185415,223
2022-08-09,5728,13676,185299,222
2022-08-08,5730,13675,185117,222
2022-08-07,5724,13664,184851,221
2022-08-06,5723,13626,184451,216
2022-08-05,5711,13556,184247,216
2022-08-04,5711,13520,184034,216
2022-08-03,5708,13493,183864,215
2022-08-02,5706,13443,183652,215
2022-08-01,5703,13386,183450,215
2022-07-31,5702,13381,183205,215
2022-07-30,5696,13371,183047,215
2022-07-29,5692,13360,182775,215
2022-07-28,5691,13298,182160,215
2022-07-27,5683,13200,181590,215
2022-07-26,5685,13078,181320,214
2022-07-25,5686,13026,181062,214
2022-07-24,5684,12986,180518,214
2022-07-23,5675,12913,177886,214
2022-07-22,5609,12738,173833,214
2022-07-21,5487,12528,171179,213
2022-07-20,5383,12412,168165,213
2022-07-19,5256,12276,163764,213
2022-07-18,5094,12088,158533,213
2022-07-17,4865,11885,143185,213
2022-07-16,4226,11179,128271,212
2022-07-15,3634,10504,117005,205
2022-07-14,3211,10056,108102,205
2022-07-13,2892,9788,101580,205
2022-07-12,2683,9621,98948,205
2022-07-11,2583,9534,97653,205
2022-07-10,2536,9494,96846,205
2022-07-09,2513,9439,96486,205
2022-07-08,2502,9399,96172,205
2022-07-07,2496,9364,95998,205
2022-07-06,2487,9363,95817,205
2022-07-05,2481,9360,95741,205
2022-07-04,2477,9355,95660,205
2022-07-03,2472,9352,95549,205
2022-07-02,2465,9343,95351,205
2022-07-01,2459,9310,95194,205
2022-06-30,2455,9308,95044,205
2022-06-29,2451,9299,94936,205
2022-06-28,2449,9295,94778,205
2022-06-27,2448,9288,94436,205
2022-06-26,2436,9235,93961,205
2022-06-25,2432,9182,93451,205
2022-06-24,2431,9124,93345,205
2022-06-23,2430,9123,93213,205
2022-06-22,2429,9120,92968,205
2022-06-21,2428,9117,92851,205
2022-06-20,2425,9107,92707,205
2022-06-19,2424,9105,92558,205
2022-06-18,2424,9097,92452,205
2022-06-17,2422,9094,92263,205
2022-06-16,2421,9077,91928,204
2022-06-15,2418,9040,91750,204
2022-06-14,2413,9029,91552,204
2022-06-13,2410,8996,91358,204
2022-06-12,2408,8981,91123,204
2022-06-11,2405,8939,90993,204
2022-06-10,2406,8934,90852,204
2022-06-09,2404,8888,90567,204
2022-06-08,2405,8827,90267,204
2022-06-07,2405,8798,89956,204
