date,follower,likes,video_view,article_view
2022-07-17,0,124,5299,747
2022-07-16,0,124,5287,747
2022-07-15,0,124,5276,747
2022-07-14,0,124,5258,747
2022-07-13,0,124,5236,747
2022-07-12,0,124,5224,747
2022-07-11,0,124,5211,747
2022-07-10,0,124,5194,747
2022-07-09,0,124,5169,747
2022-07-08,0,124,5148,747
2022-07-07,0,124,5125,747
2022-07-06,0,124,5105,747
2022-07-05,0,124,5092,747
2022-07-04,0,124,5082,747
2022-07-03,0,123,5062,747
2022-07-02,0,123,5039,747
2022-07-01,0,123,5034,747
2022-06-30,0,123,5024,747
2022-06-29,0,123,5013,747
2022-06-28,0,123,5001,745
2022-06-27,0,123,4987,744
2022-06-26,0,123,4977,743
2022-06-25,0,122,4971,742
2022-06-24,0,122,4961,742
2022-06-23,0,122,4954,742
2022-06-22,0,122,4932,741
2022-06-21,0,122,4912,741
2022-06-20,0,122,4907,741
2022-06-19,0,122,4901,741
2022-06-18,0,122,4897,741
2022-06-17,0,122,4894,741
2022-06-16,0,122,4890,741
2022-06-15,0,122,4888,741
2022-06-14,0,122,4883,741
2022-06-13,0,122,4879,741
2022-06-12,0,122,4875,741
2022-06-11,0,122,4861,741
2022-06-10,0,122,4857,741
2022-06-09,0,122,4853,741
2022-06-08,0,122,4836,741
2022-06-07,0,117,4830,741
