2022-06-06,1734
2022-06-07,1736
2022-06-08,1737
2022-06-09,1736
2022-06-10,1736
2022-06-11,1736
2022-06-12,1738
2022-06-13,1739
2022-06-14,1738
2022-06-15,1737
2022-06-16,1734
2022-06-17,1733
2022-06-18,1734
2022-06-19,1734
2022-06-20,1737
2022-06-21,1743
2022-06-22,1756
2022-06-23,1763
2022-06-24,1766
2022-06-25,1768
2022-06-26,1771
2022-06-27,1773
2022-06-28,1776
2022-06-29,1777
2022-06-30,1778
2022-07-01,1778
2022-07-02,1780
2022-07-03,1784
2022-07-04,1785
2022-07-05,1791
2022-07-06,1792
2022-07-07,1793
2022-07-08,1793
2022-07-09,1793
2022-07-10,1795
2022-07-11,1797
2022-07-12,1798
2022-07-13,1801
2022-07-14,1804
2022-07-15,1806
2022-07-16,1805
2022-07-17,1806
2022-07-18,1808
2022-07-19,1810
2022-07-20,1809
2022-07-21,1811
2022-07-22,1811
2022-07-23,1812
2022-07-24,1814
2022-07-25,1815
2022-07-26,1816
2022-07-27,1818
2022-07-28,1818
2022-07-29,1817
2022-07-30,1819
2022-07-31,1826
2022-08-01,1827
2022-08-02,1830
2022-08-03,1830
2022-08-04,1832
2022-08-05,1857
2022-08-06,1871
2022-08-07,1886
2022-08-08,1893
2022-08-09,1895
2022-08-10,1896
2022-08-11,1897
2022-08-12,1897
2022-08-13,1902
2022-08-14,1903
2022-08-15,1901
2022-08-16,1902
2022-08-17,1903
2022-08-18,1905
2022-08-19,1909
2022-08-20,1920
2022-08-21,1931
2022-08-22,1935
2022-08-23,1940
2022-08-24,1944
2022-08-25,1945
2022-08-26,1946
2022-08-27,1949
2022-08-28,1950
2022-08-29,1950
2022-08-30,1951
2022-08-31,1954
2022-09-01,1956
2022-09-02,1957
2022-09-03,1956
2022-09-04,1955
2022-09-05,1966
2022-09-06,1973
2022-09-07,1982
2022-09-08,1983
2022-09-09,1988
2022-09-10,1992
2022-09-11,1997
2022-09-12,2000
2022-09-13,2002
2022-09-14,2006
2022-09-15,2005
2022-09-16,2008
2022-09-17,2012
2022-09-18,2020
2022-09-19,2023
2022-09-20,2025
2022-09-21,2030
2022-09-22,2032
2022-09-23,2042
2022-09-24,2067
2022-09-25,2075
2022-09-26,2079
2022-09-27,2082
2022-09-28,2082
2022-09-29,2083
2022-09-30,2084
2022-10-01,2085
2022-10-02,2089
2022-10-03,2089
2022-10-04,2091
2022-10-05,2093
2022-10-06,2094
2022-10-07,2096
2022-10-08,2095
2022-10-09,2095
2022-10-10,2097
2022-10-11,2095
2022-10-12,2097
2022-10-13,2097
2022-10-14,2098
2022-10-15,2097
2022-10-16,2098
2022-10-17,2102
2022-10-18,2102
2022-10-19,2102
2022-10-20,2104
2022-10-21,2106
2022-10-22,2107
2022-10-23,2106
2022-10-24,2105
2022-10-25,2107
2022-10-26,2107
2022-10-27,2109
2022-10-28,2110
2022-10-29,2110
2022-10-30,2111
2022-10-31,2111
2022-11-01,2111
2022-11-02,2111
2022-11-03,2111
2022-11-04,2110
2022-11-05,2110
2022-11-06,2110
2022-11-07,2109
2022-11-08,2109
2022-11-09,2110
2022-11-10,2110
2022-11-11,2110
2022-11-12,2110
2022-11-13,2110
2022-11-14,2109
2022-11-15,2109
2022-11-16,2109
2022-11-17,2109
2022-11-18,2108
2022-11-19,2109
2022-11-20,2109
2022-11-21,2108
2022-11-22,2112
2022-11-23,2112
2022-11-24,2112
2022-11-25,2114
2022-11-26,2113
2022-11-27,2114
2022-11-28,2115
2022-11-29,2115
2022-11-30,2116
2022-12-01,2116
2022-12-02,2116
2022-12-03,2118
2022-12-04,2119
2022-12-05,2122
2022-12-06,2122
2022-12-07,2122
2022-12-08,2123
2022-12-09,2124
2022-12-10,2124
2022-12-11,2123
2022-12-12,2122
2022-12-13,2120
2022-12-14,2120
2022-12-15,2120
2022-12-16,2120
2022-12-17,2120
2022-12-18,2120
2022-12-19,2120
2022-12-20,2120
2022-12-21,2119
2022-12-22,2120
2022-12-23,2120
2022-12-24,2121
2022-12-25,2120
2022-12-26,2119
2022-12-27,2119
2022-12-28,2119
2022-12-29,2121
2022-12-30,2120
2022-12-31,2119
2023-01-01,2118
2023-01-02,2115
2023-01-03,2115
2023-01-04,2120
2023-01-05,2123
2023-01-06,2128
2023-01-07,2128
2023-01-08,2129
2023-01-09,2129
2023-01-10,2132
2023-01-11,2133
2023-01-12,2132
