date,follower
2023-01-14,1723277
2023-01-13,1713544
2023-01-12,1709329
2023-01-11,1709162
2023-01-10,1708942
2023-01-09,1708715
2023-01-08,1708514
2023-01-07,1708313
2023-01-06,1708328
2023-01-05,1708266
2023-01-04,1707678
2023-01-03,1707145
2023-01-02,1706916
2023-01-01,1706883
2022-12-31,1706374
2022-12-30,1705714
2022-12-29,1705052
2022-12-28,1704402
2022-12-27,1703956
2022-12-26,1703789
2022-12-25,1703545
2022-12-24,1703341
2022-12-23,1703130
2022-12-22,1702889
2022-12-21,1702937
2022-12-20,1702766
2022-12-19,1702705
2022-12-18,1702717
2022-12-17,1702530
2022-12-16,1702370
2022-12-15,1702181
2022-12-14,1702125
2022-12-13,1702044
2022-12-12,1701920
2022-12-11,1703137
2022-12-10,1694890
2022-12-09,1693941
2022-12-08,1693076
2022-12-07,1692699
2022-12-06,1692300
2022-12-05,1691677
2022-12-04,1691260
2022-12-03,1690853
2022-12-02,1690350
2022-12-01,1689843
2022-11-30,1689570
2022-11-29,1689330
2022-11-28,1688921
2022-11-27,1688720
2022-11-26,1688383
2022-11-25,1688031
2022-11-24,1687587
2022-11-23,1687048
2022-11-22,1686007
2022-11-21,1684927
2022-11-20,1684591
2022-11-19,1684076
2022-11-18,1683275
2022-11-17,1683060
2022-11-16,1682909
2022-11-15,1682757
2022-11-14,1682485
2022-11-13,1682220
2022-11-12,1681833
2022-11-11,1681441
2022-11-10,1681326
2022-11-09,1681217
2022-11-08,1681199
2022-11-07,1681007
2022-11-06,1681150
2022-11-05,1681263
2022-11-04,1681149
2022-11-03,1680994
2022-11-02,1680968
2022-11-01,1680961
2022-10-31,1680839
2022-10-30,1680819
2022-10-29,1680490
2022-10-28,1680093
2022-10-27,1679607
2022-10-26,1679412
2022-10-25,1679323
2022-10-24,1679179
2022-10-23,1679046
2022-10-22,1678759
2022-10-21,1677612
2022-10-20,1677180
2022-10-19,1677028
2022-10-18,1676558
2022-10-17,1676567
2022-10-16,1676334
2022-10-15,1676194
2022-10-14,1675918
2022-10-13,1675916
2022-10-12,1675587
2022-10-11,1675323
2022-10-10,1675168
2022-10-09,1675091
2022-10-08,1674668
2022-10-07,1674089
2022-10-06,1673618
2022-10-05,1673213
2022-10-04,1672816
2022-10-03,1672227
2022-10-02,1671470
2022-10-01,1670307
2022-08-25,1657874
2022-08-24,1657426
2022-08-23,1656865
2022-08-22,1656436
2022-08-21,1655900
2022-08-20,1655890
2022-08-19,1655705
2022-08-18,1655453
2022-08-17,1655128
2022-08-16,1654959
2022-08-15,1654598
2022-08-14,1654154
2022-08-13,1653784
2022-08-12,1653226
2022-08-11,1652788
2022-08-10,1652405
2022-08-09,1651709
2022-08-08,1651168
2022-08-07,1650691
2022-08-06,1650236
2022-08-05,1649797
2022-08-04,1649543
2022-08-03,1648484
2022-08-02,1648151
2022-08-01,1647609
2022-07-31,1647176
2022-07-30,1647287
2022-07-29,1646818
2022-07-28,1646587
2022-07-27,1645882
2022-07-26,1645461
2022-07-25,1644882
2022-07-24,1644294
2022-07-23,1643395
2022-07-22,1642781
2022-07-21,1642202
2022-07-20,1642037
2022-07-19,1641889
2022-07-18,1641536
2022-07-17,1641409
2022-07-16,1641050
2022-07-15,1640667
2022-07-14,1640506
2022-07-13,1640503
2022-07-12,1640338
2022-07-11,1640037
2022-07-10,1639763
2022-07-09,1639487
2022-07-08,1641312
2022-07-07,1642704
2022-07-06,1643081
2022-07-05,1643241
2022-07-04,1643218
2022-07-03,1643276
2022-07-02,1643052
2022-07-01,1642721
2022-06-30,1642256
2022-06-29,1642089
2022-06-28,1642266
2022-06-27,1642032
2022-06-26,1641850
2022-06-25,1641736
2022-06-24,1641571
2022-06-23,1641521
2022-06-22,1641893
